United States,60131
India,30336
Brazil,24794
Russia,9532
United Kingdom,8160
France,8081
Italy,6398
Spain,5861
Colombia,5565
Argentina,5381
Germany,5259
Turkey,4806
Mexico,4685
Poland,4319
Iran,3899
South Africa,3673
Ukraine,3615
Peru,3331
Netherlands,2693
Indonesia,2514
Czechia,2442
Romania,2058
Chile,1959
Belgium,1936
Iraq,1889
Canada,1801
Bangladesh,1703
Pakistan,1558
Switzerland,1474
Morocco,1436
Israel,1425
Portugal,1408
Philippines,1402
Sweden,1381
Saudi Arabia,1171
Austria,1170
Serbia,1141
Hungary,1070
Jordan,975
Panama,860
Nepal,757
Georgia,736
Ecuador,730
Japan,724
Azerbaijan,711
Kazakhstan,685
Croatia,678
Bulgaria,675
Belarus,648
United Arab Emirates,631
Slovakia,624
Lebanon,611
Costa Rica,567
Dominican Republic,565
Denmark,552
Bolivia,549
Armenia,516
Moldova,483
Kuwait,479
Tunisia,477
Lithuania,477
Guatemala,467
Palestine,466
Qatar,464
Greece,449
Myanmar,447
Egypt,442
Ethiopia,422
Slovenia,418
Honduras,411
Oman,409
Venezuela,384
Bosnia and Herzegovina,369
Paraguay,364
Ireland,363
Libya,355
Malaysia,354
Kenya,324
Algeria,319
Nigeria,296
Bahrain,296
Kyrgyzstan,277
China,273
North Macedonia,268
Uzbekistan,260
Albania,198
South Korea,188
Ghana,185
Kosovo,175
Montenegro,169
Singapore,168
Afghanistan,167
Norway,165
El Salvador,161
Luxembourg,155
Latvia,141
Sri Lanka,132
Uganda,125
Finland,108
Estonia,95
Cameroon,87
Namibia,86
Cyprus,83
Australia,82
Zambia,77
Sudan,77
Cote d'Ivoire,76
Uruguay,73
Mozambique,67
Senegal,64
Madagascar,60
Democratic Republic of Congo,60
Angola,60
Botswana,54
Tajikistan,53
Mauritania,50
Guinea,46
Maldives,45
Malta,44
Jamaica,44
Cuba,43
Syria,41
Cape Verde,41
Belize,38
Haiti,34
Eswatini,34
Gabon,32
Rwanda,30
Thailand,26
Bahamas,26
Andorra,26
Mali,25
Malawi,25
Trinidad and Tobago,24
Burkina Faso,24
Congo,23
Suriname,22
Guyana,21
Nicaragua,20
Djibouti,19
Iceland,18
Equatorial Guinea,17
Central African Republic,16
Somalia,15
South Sudan,13
Lesotho,13
Gambia,13
Togo,12
Niger,12
Benin,11
Sierra Leone,9
Yemen,8
San Marino,8
Guinea-Bissau,8
Liechtenstein,7
Chad,7
New Zealand,6
Liberia,6
Vietnam,4
Mongolia,4
Eritrea,4
Sao Tome and Principe,3
Monaco,3
Comoros,3
Taiwan,2
Papua New Guinea,2
International,2
Burundi,2
Bhutan,2
Barbados,2
Tanzania,1
Seychelles,1
Saint Lucia,1
Mauritius,1
Cambodia,1
Vatican,0
Vanuatu,0
Timor,0
Solomon Islands,0
Samoa,0
Saint Vincent and the Grenadines,0
Saint Kitts and Nevis,0
Marshall Islands,0
Laos,0
Grenada,0
Fiji,0
Dominica,0
Brunei,0
Antigua and Barbuda,0
